au_id,au_tl,au_ar,au_sh,sh_ar,date,cit,bio,incrp
16,Ḥusayn Naṣṣār,الدكتور حسين نصار,Ḥusayn Naṣṣār,حسين نصار,1439,-,-,-
17,Muḥammad Mutawallī al-Shaʿrāwī,محمد متولي الشعراوي (ت ١٤١٨هـ),al-Shaʿrāwī,الشعراوي,1418,-,-,-
20,Muḥammad b. Idrīs al-Shāfiʿī,محمد بن إدريس الشافعي (ت ٢٠٤ هـ),al-Shāfiʿī,الشافعي,204,-,-,-
22,,,Abū Bakr b. al-ʿArabī,أبو بكر ابن العربي,543,-,-,-
23,ʿAlī b. Muḥammad b. ʿAbd al-Ṣamad al-Hamdānī al-Miṣrī al-Shāfiʿī Abū al-Ḥasan ʿAlam al-Dīn al-Sakhāwī,"علي بن محمد بن عبد الصمد الهمداني المصري الشافعي، أبو الحسن، علم الدين السخاوي (ت ٦٤٣هـ)",ʿAlam al-Dīn al-Sakhāwī al-Muqriʾ,علم الدين السخاوي المقرئ,643,-,-,-
24,Sulaymān b. Ḥusayn b. Muḥammad b. Shalabī al-Jamzūrī al-Shahīr bi-l-Afandī,سليمان بن حسين بن محمد بن شلبي الجمزورى الشهير بالأفندى (ت بعد ١٢٠٨هـ),Sulaymān al-Jamzūrī,سليمان الجمزوري,1208,-,-,-
26,Abū ʿUbayd al-Qāsim b. Sallām b. ʿAbd Allāh al-Harawī al-Baghdādī,أبو عُبيد القاسم بن سلاّم بن عبد الله الهروي البغدادي (ت ٢٢٤هـ),Abū ʿUbayd al-Qāsim b. Sallām,أبو عبيد القاسم بن سلام,224,-,-,-
32,ʿAbd al-Raḥmān b. Muḥammad b. Qāsim al-ʿĀṣimī al-Ḥanbalī al-Najdī,عبد الرحمن بن محمد بن قاسم العاصمي الحنبلي النجدي (ت ١٣٩٢هـ),ʿAbd al-Raḥmān b. Qāsim,عبد الرحمن بن قاسم,1392,-,-,-
34,Shams al-Dīn Muḥammad b. ʿAbd al-Raḥmān al-Sakhāwī al-Miṣrī al-Madanī,"شمس الدين محمد بن عبد الرحمن السخاوي، المصري، المدني (٨٣١",al-Sakhāwī,السخاوي,902,-,-,-
35,Abū al-Qāsim al-Ḥusayn b. Muḥammad al-Maʿrūf bi-l-Rāghib al-Iṣfahānī,أبو القاسم الحسين بن محمد المعروف بالراغب الأصفهانى (ت ٥٠٢هـ),al-Rāghib al-Iṣfahānī,الراغب الأصفهاني,502,-,-,-
36,Abū Bakr ʿAbd al-Qāhir b. ʿAbd al-Raḥmān b. Muḥammad al-Fārisī al-Aṣl al-Jurjānī,"أبو بكر عبد القاهر بن عبد الرحمن بن محمد الفارسي الأصل، الجرجاني الدار (ت ٤٧١هـ)","al-Jurjānī, ʿAbd al-Qāhir","الجرجاني، عبد القاهر",471,-,-,-
38,Al-Dhahabī Muḥammad al-Sayyid Ḥusayn,الدكتور محمد السيد حسين الذهبي (ت ١٣٩٨هـ),Muḥammad Ḥusayn al-Dhahabī,محمد حسين الذهبي,1398,-,-,-
44,Abū Zakariyyā Muḥyī al-Dīn Yaḥyā b. Sharaf al-Nawawī,أبو زكريا محيي الدين يحيى بن شرف النووي (ت ٦٧٦هـ),al-Nawawī,النووي,676,-,-,-
45,ʿUthmān b. Saʿīd b. ʿUthmān b. ʿUmar Abū ʿAmr al-Dānī,عثمان بن سعيد بن عثمان بن عمر أبو عمرو الداني (ت ٤٤٤هـ),Abū ʿAmr al-Dānī,أبو عمرو الداني,444,-,-,-
47,ʿAbd Allāh b. ʿAbd al-Raḥmān b. ʿAbd al-ʿAzīz b. ʿAbd al-Raḥmān b. ʿAbd Allāh b. Sulṭān b. Khamīs al-Mulaqqab bi-Abā Buṭayn,"عبد الله بن عبد الرحمن بن عبد العزيز بن عبد الرحمن بن عبد الله بن سلطان بن خميس الملقب بـ""أبابطين"" (ت ١٢٨٢هـ)",ʿAbd Allāh Abā Buṭayn,عبد الله أبا بطين,1282,-,-,-
48,Abū al-ʿAbbās Aḥmad b. Muḥammad b. ʿUthmān al-Azdī al-Maʿrūf bi-Ibn al-Bannāʾ al-Marrākushī,أبو العباس أحمد بن محمد بن عثمان الأزدي المعروف بابن البناء المراكشي (ت ٧٢١هـ),Ibn al-Bannāʾ al-Marrākushī,ابن البناء المراكشي,721,-,-,-
49,Abū ʿAbd al-Raḥmān Aḥmad b. Shuʿayb al-Nasāʾī,أبو عبد الرحمن أحمد بن شعيب النسائي (ت ٣٠٣ هـ),al-Nasāʾī,النسائي,303,-,-,-
50,Abū al-Faḍl ʿAbd al-Raḥmān b. Aḥmad b. al-Ḥasan al-Rāzī al-Muqriʾ,أبو الفضل عبد الرحمن بن أحمد بن الحسن الرازي المقرىء (ت ٤٥٤هـ),"al-Rāzī, Abū al-Faḍl","الرازي، أبو الفضل",454,-,-,-
51,Jamāl al-Dīn Abū al-Faraj ʿAbd al-Raḥmān b. ʿAlī b. Muḥammad al-Jawzī,جمال الدين أبو الفرج عبد الرحمن بن علي بن محمد الجوزي (ت ٥٩٧هـ),Ibn al-Jawzī,ابن الجوزي,597,-,-,-
54,Shaykh al-Islām Aḥmad b. ʿAbd al-Ḥalīm b. ʿAbd al-Salām Ibn Taymiyya,شيخ الإسلام أحمد بن عبد الحليم بن عبد السلام ابن تيمية (٦٦١,Ibn Taymiyya,ابن تيمية,728,-,-,-
56,Abū al-Qāsim ʿAbd Allāh b. Muḥammad b. ʿAbd al-ʿAzīz b. al-Marzubān b. Sābūr b. Shāhanshāh al-Baghawī,أبو القاسم عبد الله بن محمد بن عبد العزيز بن المَرْزُبان بن سابور بن شاهنشاه البغوي (ت ٣١٧هـ),"al-Baghawī, Abū al-Qāsim","البغوي، أبو القاسم",317,-,-,-
57,Muḥammad b. Ṣāliḥ al-ʿUthaymīn,محمد بن صالح العثيمين,Ibn ʿUthaymīn,ابن عثيمين,1421,-,-,-
58,Abū al-Ḥasan ʿAlī b. Ismāʿīl b. Isḥāq b. Sālim b. Ismāʿīl b. ʿAbd Allāh b. Mūsā b. Abī Burda b. Abī Mūsā al-Ashʿarī,أبو الحسن علي بن إسماعيل بن إسحاق بن سالم بن إسماعيل بن عبد الله بن موسى بن أبي بردة بن أبي موسى الأشعري (ت ٣٢٤هـ),Abū al-Ḥasan al-Ashʿarī,أبو الحسن الأشعري,324,-,-,-
59,Muḥammad b. Jarīr b. Yazīd b. Kathīr b. Ghālib al-Āmulī Abū Jaʿfar al-Ṭabarī,"محمد بن جرير بن يزيد بن كثير بن غالب الآملي، أبو جعفر الطبري (ت ٣١٠هـ)",Abū Jaʿfar b. Jarīr al-Ṭabarī,أبو جعفر ابن جرير الطبري,310,-,-,-
67,ʿAbd al-ʿAzīz b. ʿAbd Allāh Ibn Bāz,عبد العزيز بن عبد الله بن باز (ت ١٤٢٠هـ),Ibn Bāz,ابن باز,1420,-,-,-
68,Abū Isḥāq Ibrāhīm b. Mūsā b. Muḥammad al-Lakhmī al-Shāṭibī,أبو إسحاق إبراهيم بن موسى بن محمد اللخمي الشاطبي (ت ٧٩٠ هـ),al-Shāṭibī al-Uṣūlī al-Naḥwī,الشاطبي الأصولي النحوي,790,-,-,-
69,Abū Aḥmad Muḥammad Amān b. ʿAlī Jāmī,أبو أحمد محمد أمان بن علي جامي علي (ت ١٤١٥هـ),Muḥammad Amān al-Jāmī,محمد أمان الجامي,1415,-,-,-
70,ʿAbd al-Raḥmān b. ʿAbd al-Khāliq al-Yūsuf,عبد الرحمن بن عبد الخالق اليوسف,ʿAbd al-Raḥmān b. ʿAbd al-Khāliq,عبد الرحمن بن عبد الخالق,1442,-,-,-
71,Badr al-Dīn Maḥmūd al-ʿAynī,بدر الدين محمود العيني (ت ٨٥٥ هـ),Badr al-Dīn al-ʿAynī,بدر الدين العيني,855,-,-,-
74,Aḥmad b. al-Ḥusayn b. ʿAlī b. Mūsā al-Khusrawjirdī al-Khurāsānī Abū Bakr al-Bayhaqī,"أحمد بن الحسين بن علي بن موسى الخُسْرَوْجِردي الخراساني، أبو بكر البيهقي (ت ٤٥٨هـ)",Abū Bakr al-Bayhaqī,أبو بكر البيهقي,458,-,-,-
76,Al-Namarī al-Ḥāfiẓ Yūsuf Ibn ʿAbd al-Barr,"النمري، الحافظ يوسف بن البر",Ibn ʿAbd al-Barr,ابن عبد البر,463,-,-,-
77,Muḥammad al-Ṭāhir Ibn ʿĀshūr,محمد الطاهر ابن عاشور,Ibn ʿĀshūr,ابن عاشور,1393,-,-,-
79,Shams al-Dīn Muḥammad b. Aḥmad b. ʿAbd al-Hādī al-Maqdisī al-Dimashqī al-Ḥanbalī,شمس الدين محمد بن أحمد بن عبد الهادي المقدسي ثم الدمشقي الحنبلي (ت ٧٤٤ هـ),Ibn ʿAbd al-Hādī,ابن عبد الهادي,744,-,-,-
80,Abū Bakr Muḥammad b. Muḥammad Ibn al-Walīd al-Fihrī al-Ṭurṭūshī al-Mālikī,أبو بكر محمد بن محمد ابن الوليد الفهري الطرطوشي المالكي (ت ٥٢٠هـ),Abū Bakr al-Ṭarṭūshī,أبو بكر الطرطوشي,520,-,-,-
84,Aḥmad b. ʿAbd Allāh b. Sulaymān b. Muḥammad b. Sulaymān Abū al-ʿAlāʾ al-Maʿarrī al-Tanūkhī,"أحمد بن عبد الله بن سليمان بن محمد بن سليمان، أبو العلاء المعري، التنوخي (ت ٤٤٩هـ)",Abū al-ʿAlāʾ al-Maʿarrī,أبو العلاء المعري,449,-,-,-
85,Muḥammad b. Shākir b. Aḥmad b. ʿAbd al-Raḥmān b. Shākir b. Hārūn b. Shākir al-Mulaqqab bi-Ṣalāḥ al-Dīn,محمد بن شاكر بن أحمد بن عبد الرحمن بن شاكر بن هارون بن شاكر الملقب بصلاح الدين (ت ٧٦٤هـ),Ibn Shākir al-Kutubī,ابن شاكر الكتبي,764,-,-,-
86,Muḥammad b. Muḥammad b. Aḥmad b. Abī Zayd Ibn al-Ukhuwwa al-Qurashī Ḍiyāʾ al-Dīn,"محمد بن محمد بن أحمد بن أبي زيد بن الأخوة، القرشي، ضياء الدين (ت ٧٢٩هـ)",Ibn al-Ukhuwwa,ابن الأخوة,729,-,-,-
87,Muḥammad b. Saʿd b. Manīʿ al-Zuhrī,محمد بن سعد بن منيع الزهري (ت ٢٣٠ هـ),Ibn Saʿd,ابن سعد,230,-,-,-
88,Jamāl al-Dīn Abū Muḥammad ʿAbd Allāh b. Yūsuf b. Muḥammad al-Zaylaʿī,جمال الدين أبو محمد عبد الله بن يوسف بن محمد الزيلعي (ت ٧٦٢هـ),al-Jamāl al-Zaylaʿī,الجمال الزيلعي,762,-,-,-
89,Iḥsān ʿAbbās,دكتور إحسان عباس (ت ١٤٢٤هـ),Iḥsān ʿAbbās,إحسان عباس,1424,-,-,-
91,Ibrāhīm b. ʿUmar b. Ḥasan al-Ribāṭ b. ʿAlī b. Abī Bakr al-Biqāʿī,إبراهيم بن عمر بن حسن الرباط بن علي بن أبي بكر البقاعي (ت ٨٨٥هـ),Burhān al-Dīn al-Biqāʿī,برهان الدين البقاعي,885,-,-,-
93,Badr al-Dīn al-Zarkashī,بدر الدين الزركشي (٧٤٥,Badr al-Dīn al-Zarkashī,بدر الدين الزركشي,794,-,-,-
95,ʿAlī b. Muḥammad al-Āmidī,علي بن محمد الآمدي,"al-Āmidī, Abū al-Ḥasan","الآمدي، أبو الحسن",631,-,-,-
99,Abū Ḥayyān Muḥammad b. Yūsuf b. ʿAlī b. Yūsuf b. Ḥayyān al-Andalusī,أبو حيان محمد بن يوسف بن علي بن يوسف بن حيان أثير الدين الأندلسي (ت ٧٤٥هـ),Abū Ḥayyān al-Andalusī,أبو حيان الأندلسي,745,-,-,-
100,Muḥammad b. ʿAlī al-Shawkānī,محمد بن علي الشوكاني,al-Shawkānī,الشوكاني,1250,-,-,-
101,Abū al-Layth Naṣr b. Muḥammad b. Aḥmad b. Ibrāhīm al-Samarqandī (d. 373 AH),أبو الليث نصر بن محمد بن أحمد بن إبراهيم السمرقندي (ت ٣٧٣هـ),Abū al-Layth al-Samarqandī,أبو الليث السمرقندي,373,-,-,-
104,al-Qāḍī Nāṣir al-Dīn ʿAbd Allāh b. ʿUmar al-Bayḍāwī (d. 685 AH),القاضي ناصر الدين عبد الله بن عمر البيضاوي (ت ٦٨٥هـ),Nāṣir al-Dīn al-Bayḍāwī,ناصر الدين البيضاوي,685,-,-,-
105,Abū al-Barakāt ʿAbd Allāh b. Aḥmad b. Maḥmūd Ḥāfiẓ al-Dīn al-Nasafī (d. 710 AH),أبو البركات عبد الله بن أحمد بن محمود حافظ الدين النسفي (ت ٧١٠هـ),Abū al-Barakāt al-Nasafī,أبو البركات النسفي,710,-,-,-
108,Jār Allāh al-Zamakhsharī (d. 583 AH),جار الله الزمخشري توفي ٥٨٣ هـ,al-Zamakhsharī,الزمخشري,538,-,-,-
110,Abū al-Suʿūd al-ʿImādī Muḥammad b. Muḥammad b. Muṣṭafā (d. 982 AH),أبو السعود العمادي محمد بن محمد بن مصطفى (ت ٩٨٢هـ),Abū al-Suʿūd,أبو السعود,982,-,-,-
112,ʿAbd al-Malik b. Muḥammad b. Ismāʿīl Abū Manṣūr al-Thaʿālibī (d. 429 AH),عبد الملك بن محمد بن إسماعيل أبو منصور الثعالبي (ت ٤٢٩هـ),Abū Manṣūr al-Thaʿālibī,أبو منصور الثعالبي,429,-,-,-
114,Muḥammad al-Amīn b. Muḥammad al-Mukhtār al-Jakanī al-Shanqīṭī (1325 AH),محمد الأمين بن محمد المختار الجكني الشنقيطي (١٣٢٥,Muḥammad al-Amīn al-Shanqīṭī,محمد الأمين الشنقيطي,1393,-,-,-
119,"ʿAbd al-Raḥmān b. Muḥammad b. Idrīs b. al-Mundhir al-Tamīmī, al-Ḥanẓalī, al-Rāzī Ibn Abī Ḥātim (d. 327 AH)","عبد الرحمن بن محمد بن إدريس بن المنذر التميمي، الحنظلي، الرازي ابن أبي حاتم (ت ٣٢٧هـ)",Ibn Abī Ḥātim,ابن أبي حاتم,327,-,-,-
123,Abū Bakr ʿAbd al-Razzāq b. Hammām al-Ṣanʿānī (126 AH),أبو بكر عبد الرزاق بن همام الصنعاني (١٢٦,ʿAbd al-Razzāq al-Ṣanʿānī,عبد الرزاق الصنعاني,211,-,-,-
127,Jābir b. Mūsā b. ʿAbd al-Qādir b. Jābir Abū Bakr al-Jazāʾirī,جابر بن موسى بن عبد القادر بن جابر أبو بكر الجزائري,Abū Bakr al-Jazāʾirī,أبو بكر الجزائري,1439,-,-,-
128,Abū ʿAbd Allāh ʿAbd al-Raḥmān b. Nāṣir b. ʿAbd Allāh b. Nāṣir b. Ḥamd Āl Saʿdī (d. 1376 AH),"أبو عبد الله، عبد الرحمن بن ناصر بن عبد الله بن ناصر بن حمد آل سعدي (ت ١٣٧٦هـ)",ʿAbd al-Raḥmān al-Saʿdī,عبد الرحمن السعدي,1376,-,-,-
130,Abū Zakariyyā Yaḥyā b. Ziyād b. ʿAbd Allāh b. Manẓūr al-Dīlmī al-Farrāʾ (d. 207 AH),أبو زكريا يحيى بن زياد بن عبد الله بن منظور الديلمي الفراء (ت ٢٠٧هـ),"al-Farrāʾ, Yaḥyā b. Ziyād","الفراء، يحيى بن زياد",207,-,-,-
132,Abū Jaʿfar al-Naḥḥās Aḥmad b. Muḥammad b. Ismāʿīl b. Yūnus al-Murādī al-Naḥwī (d. 338 AH),أبو جعفر النَّحَّاس أحمد بن محمد بن إسماعيل بن يونس المرادي النحوي (ت ٣٣٨هـ),Abū Jaʿfar al-Naḥḥās,أبو جعفر النحاس,338,-,-,-
133,Abū Muḥammad ʿAbd al-Ḥaqq b. Ghālib b. ʿAbd al-Raḥmān b. Tammām b. ʿAṭiyya al-Andalusī al-Muḥāribī (d. 542 AH),أبو محمد عبد الحق بن غالب بن عبد الرحمن بن تمام بن عطية الأندلسي المحاربي (ت ٥٤٢ هـ),Ibn ʿAṭiyya,ابن عطية,542,-,-,-
135,Abū al-ʿAbbās Aḥmad b. Muḥammad b. al-Mahdī b. ʿAjība al-Ḥasanī al-Anjarī al-Fāsī al-Ṣūfī (d. 1224 AH),أبو العباس أحمد بن محمد بن المهدي بن عجيبة الحسني الأنجري الفاسي الصوفي (ت ١٢٢٤هـ),Ibn ʿAjība,ابن عجيبة,1224,-,-,-
136,Shams al-Dīn Muḥammad b. Muḥammad al-Khaṭīb al-Shirbīnī (d. 977 AH),"شمس الدين، محمد بن محمد، الخطيب الشربيني [ت ٩٧٧ هـ]",al-Khaṭīb al-Shirbīnī,الخطيب الشربيني,977,-,-,-
139,Abū al-Fatḥ Muḥammad b. ʿAbd al-Karīm b. Abī Bakr Aḥmad al-Shahrastānī (d. 548 AH),أبو الفتح محمد بن عبد الكريم بن أبى بكر أحمد الشهرستاني (ت ٥٤٨هـ),al-Shahrastānī,الشهرستاني,548,-,-,-
140,Abū Ismāʿīl al-Harawī (d. 481 AH),أبو إسماعيل الهروي (ت ٤٨١ هـ),Abū Ismāʿīl al-Harawī,أبو إسماعيل الهروي,481,-,-,-
141,Muḥammad b. Ismāʿīl al-Amīr al-Ṣanʿānī (d. 1182 AH),محمد بن إسماعيل الأمير الصنعاني [ت ١١٨٢ هـ],al-Ṣanʿānī,الصنعاني,1182,-,-,-
143,Abū ʿAbd Allāh ʿUbayd Allāh b. Muḥammad b. Muḥammad b. Ḥamdān al-ʿUkbarī known as Ibn Baṭṭa al-ʿUkbarī (d. 387 AH),أبو عبد الله عبيد الله بن محمد بن محمد بن حمدان العُكْبَري المعروف بابن بَطَّة العكبري (ت ٣٨٧هـ),Ibn Baṭṭa,ابن بطة,387,-,-,-
144,Abū al-Qāsim Hibat Allāh b. al-Ḥasan b. Manṣūr al-Ṭabarī al-Rāzī al-Lālkāʾī (d. 418 AH),أبو القاسم هبة الله بن الحسن بن منصور الطبري الرازي اللالكائي (ت ٤١٨هـ),al-Lālakāʾī,اللالكائي,418,-,-,-
145,Bakr b. ʿAbd Allāh Abū Zayd b. Muḥammad b. ʿAbd Allāh b. Bakr b. ʿUthmān b. Yaḥyā b. Ghuyhayb b. Muḥammad (d. 1429 AH),بكر بن عبد الله أبو زيد بن محمد بن عبد الله بن بكر بن عثمان بن يحيى بن غيهب بن محمد (ت ١٤٢٩هـ),Bakr Abū Zayd,بكر أبو زيد,1429,-,-,-
152,Muḥammad b. ʿAbd al-Wahhāb b. Sulaymān al-Tamīmī al-Najdī (d. 1206 AH),محمد بن عبد الوهاب بن سليمان التميمي النجدي (ت ١٢٠٦هـ),Muḥammad b. ʿAbd al-Wahhāb,محمد بن عبد الوهاب,1206,-,-,-
156,Ismāʿīl b. ʿAbd al-Ghanī b. Walī Allāh b. ʿAbd al-Raḥīm al-ʿUmarī al-Dihlawī (d. 1246 AH),إسماعيل بن عبد الغني بن وَلي الله بن عبد الرحيم العُمري الدهلوي (ت ١٢٤٦هـ),Ismāʿīl b. ʿAbd al-Ghanī al-Dihlawī,إسماعيل بن عبد الغني الدهلوي,1246,-,-,-
161,Muḥammad b. Aḥmad Bashmīl,محمد بن أحمد باشميل,Muḥammad b. Aḥmad Bāshmīl,محمد بن أحمد باشميل,1426,-,-,-
169,"Abū Jaʿfar Aḥmad b. Muḥammad b. Salāma b. ʿAbd al-Malik b. Salma al-Azdī al-Ḥijrī al-Miṣrī, known as al-Ṭaḥāwī (d. 321 AH)",أبو جعفر أحمد بن محمد بن سلامة بن عبد الملك بن سلمة الأزدي الحجري المصري المعروف بالطحاوي (المتوفى : ٣٢١هـ),al-Ṭaḥāwī,الطحاوي,321,-,-,-
170,"Ṣadr al-Dīn Muḥammad b. ʿAlāʾ al-Dīn ʿAlīyy b. Muḥammad b. Abī al-ʿAz al-Ḥanafī, al-Azhrāʿī al-Ṣāliḥī al-Dimashqī (t. 792 H)","صدر الدين محمد بن علاء الدين عليّ بن محمد ابن أبي العز الحنفي، الأذرعي الصالحي الدمشقي (ت ٧٩٢هـ)",Ibn Abī al-ʿIzz,ابن أبي العز,792,-,-,-
172,ʿAbd al-Raḥmān b. Ḥasan b. Muḥammad b. ʿAbd al-Wahhāb b. Sulaymān al-Tamīmī (t. 1285 H),عبد الرحمن بن حسن بن محمد بن عبد الوهاب بن سليمان التميمي (ت ١٢٨٥هـ),ʿAbd al-Raḥmān b. Ḥasan Āl al-Shaykh,عبد الرحمن بن حسن آل الشيخ,1285,-,-,-
173,Abū Bakr Aḥmad b. Ibrāhīm b. Ismāʿīl b. al-ʿAbbās b. Mardās al-Ismāʿīlī al-Jurjānī (t. 371 H),أبو بكر أحمد بن إبراهيم بن إسماعيل بن العباس بن مرداس الإسماعيلي الجرجاني (ت ٣٧١هـ),Abū Bakr al-Ismāʿīlī,أبو بكر الإسماعيلي,371,-,-,-
178,ʿAbd al-Raḥmān b. Yaḥyā al-Muʿallimī al-Yamānī (t. 1313 H),عبد الرحمن بن يحيى المُعَلِّمي اليماني (١٣١٣,ʿAbd al-Raḥmān al-Muʿallimī al-Yamānī,عبد الرحمن المعلمي اليماني,1386,-,-,-
181,Abū ʿAbd Allāh Muḥammad b. ʿAbd Allāh b. ʿĪsā b. Muḥammad b. Ibrāhīm b. Abī Zaminīn (t. 324 H),أبو عبد الله محمد بن عبد الله بن عيسى بن محمد بن إبراهيم ابن أبي زمنين (٣٢٤,Ibn Abī Zamanīn,ابن أبي زمنين,399,-,-,-
184,ʿAbd al-Raḥmān b. Aḥmad b. Rajab al-Ḥanbalī (d. 795 AH),عبد الرحمن بن أحمد بن رجب الحنبلي (ت ٧٩٥هـ),Ibn Rajab al-Ḥanbalī,ابن رجب الحنبلي,795,-,-,-
187,"ʿAlī b. ʿUmar b. Muḥammad b. al-Ḥusayn Ibn Shādhān, Abū al-Ḥasan al-Sukkarī al-Ḥarbī al-Ṣayrafī al-Kayyāl (d. 386 AH)","علي بن عمر بن محمد بن الحسين ابن شاذان، أبو الحسن السكري الحربي الصيرفي الكيال (ت ٣٨٦هـ)",Abū al-Ḥasan al-Ḥarbī,أبو الحسن الحربي,386,-,-,-
198,Maḥfūẓ b. Aḥmad b. al-Ḥasan Abū al-Khaṭṭāb al-Kalwadānī al-Ḥanbalī (d. 432 AH),محفوظ بن أحمد بن الحسن أَبُو الخطاب الكَلْوَذَاني الحنبلي (٤٣٢,Abū al-Khaṭṭāb al-Kalwadhānī,أبو الخطاب الكلوذاني,510,-,-,-
202,Aḥmad b. ʿAlī b. Muḥammad b. ʿAlī Ibn Ḥajar al-ʿAsqalānī (d. 852 AH),أحمد بن علي بن محمد بن علي بن حجر العسقلاني (ت ٨٥٢ هـ),Ibn Ḥajar al-ʿAsqalānī,ابن حجر العسقلاني,558,-,-,-
206,"Abū Bakr b. Abī Dāwūd, ʿAbd Allāh b. Sulaymān b. al-Ashʿath al-Azdī al-Sijistānī (d. 316 AH)","أبو بكر بن أبي داود، عبد الله بن سليمان بن الأشعث الأزدي السجستاني (ت ٣١٦هـ)",Ibn Abī Dāwūd,ابن أبي داود,316,-,-,-
208,A group of scholars under the supervision of the Islamic Research Complex at al-Azhar,مجموعة من العلماء بإشراف مجمع البحوث الإسلامية بالأزهر,Majmūʿa min al-Muʾallifīn,مجموعة من المؤلفين,1414,-,-,-
210,Jalāl al-Dīn Muḥammad b. Aḥmad al-Maḥallī (d. 864 AH) and Jalāl al-Dīn ʿAbd al-Raḥmān b. Abī Bakr al-Suyūṭī (d. 911 AH),جلال الدين محمد بن أحمد المحلي (ت ٨٦٤هـ) وجلال الدين عبد الرحمن بن أبي بكر السيوطي (ت ٩١١هـ),"al-Maḥallī, Jalāl al-Dīn","المحلي، جلال الدين",864,-,-,-
211,Majd al-Dīn Muḥammad b. Yaʿqūb al-Fīrūzābādī (729 AH),مجد الدين محمد بن يعقوب الفيروزابادي (٧٢٩,al-Fīrūzābādī,الفيروزآبادي,817,-,-,-
215,Abū ʿAbd Allāh Muḥammad b. Ismāʿīl b. Ibrāhīm al-Bukhārī (194 AH),أبو عبد الله محمد بن إسماعيل بن إبراهيم البخاري (١٩٤,al-Bukhārī,البخاري,256,-,-,-
216,Abū Dāwūd al-Sijistānī (275 AH),أبو داود السجستاني (٢٧٥ هـ),Abū Dāwūd,أبو داود,275,-,-,-
217,Abū ʿĪsā Muḥammad b. ʿĪsā b. Sūrah al-Tirmidhī (209 AH),أبو عيسى محمد بن عيسى بن سورة الترمذي (٢٠٩,Abū ʿĪsā al-Tirmidhī,أبو عيسى الترمذي,279,-,-,-
222,Muḥammad b. Futūḥ b. ʿAbd Allāh b. Futūḥ b. Ḥumayd al-Azdī al-Mayūrqī al-Ḥumaydī Abū ʿAbd Allāh b. Abī Naṣr (d. 488 AH),محمد بن فتوح بن عبد الله بن فتوح بن حميد الأزدي الميورقي الحَمِيدي أبو عبد الله بن أبي نصر (ت ٤٨٨هـ),"al-Ḥumaydī, Ibn Abī Naṣr","الحميدي، ابن أبي نصر",488,-,-,-
